fclass,name,type,management,xlong,ylat
building,,house,ABC Housing ltd,647705.7599,6111663.268
building,,house,ABC Housing ltd,645478.3157,6116089.248
building,,residential,ABC Housing ltd,659271.9724,6113200.334
building,,semidetached_house,ABC Housing ltd,648930.3538,6112913.464
building,,house,ABC Housing ltd,655513.4592,6117950.22
building,,house,ABC Housing ltd,648904.7768,6113376.58
building,,house,ABC Housing ltd,655565.9913,6117994.111
building,,house,ABC Housing ltd,650187.8887,6118795.26
building,,semidetached_house,ABC Housing ltd,649111.5018,6118726.733
building,,house,ABC Housing ltd,645133.3325,6117088.862
building,,residential,ABC Housing ltd,659911.2269,6113383.64
building,,house,ABC Housing ltd,647274.3893,6111947.496
building,,semidetached_house,ABC Housing ltd,649074.1247,6118700.279
building,,house,ABC Housing ltd,656246.6917,6115142.668
building,,house,ABC Housing ltd,655936.7281,6119645.326
building,,house,ABC Housing ltd,647787.6445,6111764.356
building,,house,ABC Housing ltd,647727.4903,6109880.923
building,,house,ABC Housing ltd,650006.0532,6118503.297
building,,house,ABC Housing ltd,645512.2287,6116629.042
building,,terrace,ABC Housing ltd,645595.0027,6116846.418
building,,semidetached_house,ABC Housing ltd,648843.9799,6119215.375
building,,house,ABC Housing ltd,650299.4076,6118860.94
building,,house,ABC Housing ltd,649044.0023,6118634.575
building,,terrace,ABC Housing ltd,649038.5025,6113024.956
building,,apartments,ABC Housing ltd,645821.0093,6116163.147
building,,house,ABC Housing ltd,650574.2921,6110390.104
building,,terrace,ABC Housing ltd,649056.7025,6112981.854
building,,house,ABC Housing ltd,645814.8303,6116080.414
building,,terrace,ABC Housing ltd,648052.5971,6111677.241
building,,house,ABC Housing ltd,648445.9044,6114489.808
building,,house,ABC Housing ltd,649522.3308,6118376.323
building,,semidetached_house,ABC Housing ltd,649895.5266,6119305.452
building,,terrace,ABC Housing ltd,649048.0548,6112828.776
building,,semidetached_house,ABC Housing ltd,649894.3141,6119311.443
building,,house,ABC Housing ltd,645750.7721,6116001.106
building,,terrace,ABC Housing ltd,649102.9107,6112827.919
building,,house,ABC Housing ltd,645937.1551,6118255.931
building,,house,ABC Housing ltd,650889.9976,6110431.722
building,,house,ABC Housing ltd,645829.1054,6116036.252
building,,house,ABC Housing ltd,645248.2587,6117196.29
building,,house,ABC Housing ltd,648391.9825,6114562.733
building,,house,ABC Housing ltd,645208.4603,6117166.617
building,,house,ABC Housing ltd,645664.3609,6115920.207
building,,house,ABC Housing ltd,647874.5326,6110209.614
building,,house,ABC Housing ltd,646057.3218,6117818.854
building,,house,ABC Housing ltd,648792.0337,6119293.905
building,,house,ABC Housing ltd,647833.42,6110250.099
building,,terrace,ABC Housing ltd,648866.8938,6112905.084
building,,terrace,ABC Housing ltd,647798.1988,6111044.949
building,,terrace,ABC Housing ltd,645779.3764,6117049.924
building,,house,ABC Housing ltd,648733.8488,6119340.451
building,,house,ABC Housing ltd,650597.8465,6112297.542
building,,house,ABC Housing ltd,646372.6917,6117592.605
building,,house,ABC Housing ltd,646066.6803,6117809.402
building,,semidetached_house,ABC Housing ltd,650892.5748,6110518.022
building,,semidetached_house,ABC Housing ltd,650004.5219,6110110.064
building,,house,ABC Housing ltd,648407.5395,6114419.607
building,,residential,ABC Housing ltd,656511.4576,6112249.2
building,,house,ABC Housing ltd,649086.8289,6119075.144
building,,house,ABC Housing ltd,649945.5514,6109919.393
building,,house,ABC Housing ltd,649076.4718,6119128.847
building,,semidetached_house,ABC Housing ltd,645836.1464,6117904.663
building,,semidetached_house,ABC Housing ltd,649116.7384,6118925.976
building,,house,ABC Housing ltd,647816.1759,6111016.817
building,,semidetached_house,ABC Housing ltd,645812.6756,6117235.019
building,,house,ABC Housing ltd,655620.4345,6118227.071
building,,house,ABC Housing ltd,647349.016,6111062.199
building,,house,ABC Housing ltd,646392.6693,6117608.482
building,,house,ABC Housing ltd,655602.3264,6118347.075
building,,house,ABC Housing ltd,647637.9288,6109757.334
building,,terrace,ABC Housing ltd,649055.8791,6118904.527
building,,terrace,ABC Housing ltd,649180.6273,6118116.63
building,,semidetached_house,ABC Housing ltd,645731.4536,6117930.913
building,,semidetached_house,ABC Housing ltd,648883.5241,6112983.954
building,,house,ABC Housing ltd,650216.4875,6118667.152
building,,semidetached_house,ABC Housing ltd,645840.7861,6117113.177
building,,terrace,ABC Housing ltd,649033.1013,6118856.582
building,,house,ABC Housing ltd,655557.1137,6117985.01
building,,terrace,ABC Housing ltd,648026.4266,6111202.169
building,,house,ABC Housing ltd,650500.9372,6110446.032
building,,terrace,ABC Housing ltd,649003.4762,6114047.587
building,,house,ABC Housing ltd,647680.272,6109768.626
building,,terrace,ABC Housing ltd,645372.7839,6117937.032
building,,semidetached_house,ABC Housing ltd,645482.3295,6117968.45
building,,house,ABC Housing ltd,649448.762,6118179.155
building,,house,ABC Housing ltd,650017.3179,6119039.412
building,,terrace,ABC Housing ltd,649130.8065,6118912.972
building,,house,ABC Housing ltd,649981.0201,6110010.68
building,,semidetached_house,ABC Housing ltd,648675.0314,6113974.618
building,,semidetached_house,ABC Housing ltd,645427.19,6117940.038
building,,semidetached_house,ABC Housing ltd,656335.1465,6121460.738
building,,terrace,ABC Housing ltd,647854.6916,6111238.307
building,,house,ABC Housing ltd,647615.2154,6109977.749
building,,terrace,ABC Housing ltd,647867.5891,6111229.446
building,,house,ABC Housing ltd,648708.9203,6114023.039
building,,house,ABC Housing ltd,645719.8746,6117553.701
building,,house,ABC Housing ltd,650010.9151,6119187.903
building,,house,ABC Housing ltd,650880.1409,6110712.171
building,,house,ABC Housing ltd,649187.5581,6118306.47
building,,house,ABC Housing ltd,645685.849,6117589.848
building,,terrace,ABC Housing ltd,648831.5198,6118897.606
building,,house,ABC Housing ltd,656260.8671,6121417.346
building,Lisnagalt Lodge,residential,ABC Housing ltd,654836.7904,6112577.768
building,,house,ABC Housing ltd,648671.7885,6114029.582
building,,residential,ABC Housing ltd,650435.4964,6108779.706
building,,semidetached_house,ABC Housing ltd,647738.1014,6110184.846
building,,house,ABC Housing ltd,645852.1197,6117573.86
building,,house,ABC Housing ltd,649953.7326,6119256.481
building,,semidetached_house,ABC Housing ltd,647766.8238,6110145.739
building,,semidetached_house,ABC Housing ltd,647390.3205,6111186.437
building,,semidetached_house,ABC Housing ltd,648930.3899,6112812.065
building,,terrace,ABC Housing ltd,648858.0746,6118878.211
building,,terrace,ABC Housing ltd,645651.8488,6117949.356
building,,house,ABC Housing ltd,647651.8753,6111303.15
building,,house,ABC Housing ltd,648742.0625,6114136.186
building,,semidetached_house,ABC Housing ltd,649294.6983,6118323.066
building,,terrace,ABC Housing ltd,649988.4068,6119248.501
building,,terrace,ABC Housing ltd,645636.9932,6117952.817
building,,house,ABC Housing ltd,648698.2682,6114115.326
building,,house,ABC Housing ltd,645705.7738,6117060.556
building,,semidetached_house,ABC Housing ltd,647879.0418,6110659.848
building,,terrace,ABC Housing ltd,650005.8705,6112367.598
building,,residential,ABC Housing ltd,652684.3027,6112963.394
building,,terrace,ABC Housing ltd,645628.0799,6117954.923
building,,house,ABC Housing ltd,645930.8746,6117623.685
building,,semidetached_house,ABC Housing ltd,648922.1547,6112841.045
building,,terrace,ABC Housing ltd,649853.3211,6119233.78
building,,residential,ABC Housing ltd,652968.3489,6113468.958
building,,terrace,ABC Housing ltd,648920.5085,6114172.265
