fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"298",,,,"37",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116428","185537554","7859",COLERAINE,"284140","432641",N,BUILT,APPROVED,DO_DETACHED,,,,,"3623611",COLERAINE,647799.379942796,6112138.83645859
"299",,,CUILBALLA,24F,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116285","185770207","7204",COLERAINE,"284108","432727",N,BUILT,APPROVED,DO_DETACHED,,,,,,COLERAINE,647766.160202115,6112224.3476814
"300",,,,"3",HAZELBANK TERRACE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DW,,"186116527","185535847","14835",COLERAINE,"284164","432429",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621823",COLERAINE,647826.406272111,6111927.25563299
"301",,,,"8",LISLEA COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HN,,"186850607","185536728","14325",COLERAINE,"284232","432682",N,BUILT,APPROVED,DO_APART,,,,,"3622819",COLERAINE,647890.760196004,6112181.1388844
"302",,,,"34",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116450","185537573","7859",COLERAINE,"284148","432555",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623632",COLERAINE,647808.60823196,6112052.98165373
"303",,,,"6",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983059","185534961","610",COLERAINE,"284046","432761",N,BUILT,APPROVED,DO_APART,,,,,"3620949",COLERAINE,647703.695581099,6112257.44797058
"304",J D WETHERSPOON PLC,,THE OLD COURTHOUSE,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186922014","185770162","7204",COLERAINE,"284368","432459",N,BUILT,APPROVED,ND_HOSPITALITY,,,,,,COLERAINE,648029.904103111,6111960.16527658
"305",,,,8A,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922126","185770299","35792",COLERAINE,"284472","432417",N,BUILT,APPROVED,DO_APART,,,,,"3621653",COLERAINE,648134.468307261,6111919.66903568
"306",,,,"2",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116662","185537565","7859",COLERAINE,"284197","432454",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647859.036622065,6111952.71912595
"307",,,,"37",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116770","185535805","7860",COLERAINE,"284227","432467",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621791",COLERAINE,647888.839827032,6111966.14395316
"308",,,,"60",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116308","185537587","7859",COLERAINE,"284113","432620",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623647",COLERAINE,647772.690200897,6112117.45742576
"309",,,,"4",CARTHALL ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LR,,"186116138","185537465","7526",COLERAINE,"284075","432653",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623524",COLERAINE,647734.231338419,6112149.90165907
"310",,,,"31",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116839","185535799","7860",COLERAINE,"284243","432466",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621785",COLERAINE,647904.848439066,6111965.37335616
"311",,,,1F,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922111","185770283","35792",COLERAINE,"284472","432432",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_OFFICE,,,,,,COLERAINE,648134.253576879,6111934.66369409
